request_id,log_stream,ts_cloudwatch,duration_ms,billed_ms,memory_mb,max_memory_mb,init_duration_ms
ac95b6a2-a466-4a81-a9ce-c55c0390561b,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,2026-09-20T00:50:33.789000+00:00,1.67,2,128,82,
2a2da285-1c8b-4eb8-b326-771c5a189649,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,2026-09-20T00:50:34.699000+00:00,1.51,2,128,82,
0a1b95a0-3cf5-400c-bd92-8b32ff1fdf7c,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:51.014000+00:00,23.68,182,128,82,157.40
a57ccfb5-1eaa-47f5-8fe0-d271be71b914,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:51.868000+00:00,1.86,2,128,82,
8bcb1e29-9871-4af3-8f42-3681a628c0e6,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:52.727000+00:00,1.83,2,128,82,
be89d854-d7e3-45fb-bf06-61d5b004ca86,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:53.602000+00:00,1.68,2,128,82,
cb83a0f4-d7a1-466f-8db2-a744acdd3e80,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:54.463000+00:00,1.48,2,128,82,
c3f40f40-fbb3-4141-95a6-59807ed32150,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,2026-09-20T00:50:55.317000+00:00,1.49,2,128,82,
0c851ab3-4f99-41f4-bed9-323b598adc30,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:19.398000+00:00,24.75,173,128,82,148.10
80422069-c47a-467c-90f5-29cf5b6008af,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:20.262000+00:00,1.96,2,128,82,
f43b6196-635d-4902-853b-5a75ff8b8e94,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:21.119000+00:00,1.94,2,128,82,
f97619fc-8289-4611-ad1e-00f54a749dfc,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:21.996000+00:00,1.59,2,128,82,
5cfe5ca4-94cb-4409-a771-9b7ec5fb2e78,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:22.874000+00:00,1.62,2,128,82,
a67f7fae-ff05-4c2c-9c20-6e57d5f49b5a,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,2026-09-20T00:51:23.768000+00:00,1.41,2,128,82,
e5cde629-944f-43ed-b6d2-42d26bf83ccd,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:39.765000+00:00,31.02,226,128,82,194.08
3964bfec-310a-40d7-94bf-aa8281395c80,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:40.641000+00:00,1.71,2,128,82,
97926245-7f41-45d3-801a-4ca7a63b7b18,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:41.563000+00:00,1.91,2,128,83,
d95e22a5-5e1f-43ca-bf76-8c6f8765927d,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:42.426000+00:00,1.45,2,128,83,
8473893d-2a62-40d4-b1a9-e3cec61fb49a,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:43.297000+00:00,1.46,2,128,83,
4e21c5ae-2bb3-4490-8d20-d6126ed78ab9,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,2026-09-20T00:51:44.167000+00:00,1.46,2,128,83,
b06da939-88f3-4813-b862-4d675238677a,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:00.638000+00:00,10.80,153,128,82,141.53
08b5fb18-8f17-4780-b20b-290d2c848eda,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:01.497000+00:00,1.77,2,128,82,
eab6637e-1109-4eb4-9279-d3eec11ff445,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:02.414000+00:00,1.59,2,128,82,
747d0782-f3de-4a13-8259-fe3b6a24e14d,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:03.263000+00:00,1.41,2,128,82,
9a711ab2-3bc5-4c7e-979b-79fc438ec8b1,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:04.148000+00:00,1.47,2,128,82,
804be768-67ec-44ea-8330-0a6992d8d48b,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,2026-09-20T00:52:05.004000+00:00,1.39,2,128,82,
25cdb2de-37f4-4fb7-9ccd-445f34dd062c,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:22.151000+00:00,23.43,172,128,82,148.28
27bdd9e1-1583-4102-aad0-2c244039dd23,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:23.111000+00:00,1.64,2,128,82,
8e22e769-a4b1-4a21-a8cd-99cbde23a323,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:24.007000+00:00,1.65,2,128,82,
578bbd82-cead-4a97-a6d4-4eeb24d566fc,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:24.867000+00:00,1.67,2,128,82,
f7b079ff-eba7-4495-b411-9c7cebfac39f,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:25.739000+00:00,1.39,2,128,82,
bd794ce0-7f22-4519-a94f-77745a9e7371,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,2026-09-20T00:52:26.625000+00:00,1.56,2,128,82,
8ee89a09-5109-417a-b086-848fa412c6b2,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:42.659000+00:00,39.79,191,128,82,150.42
c34b3bf7-3349-4b74-9f19-ce5b5e088d47,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:43.556000+00:00,1.87,2,128,82,
ab86bfce-5088-4416-8d27-187b37d02cee,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:44.434000+00:00,1.77,2,128,82,
15b22d91-cb3e-4b78-ae4e-673c83414247,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:45.321000+00:00,1.44,2,128,82,
e042472f-ddc9-4e44-956a-5ad2254e6bd6,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:46.209000+00:00,1.45,2,128,82,
4077f192-f0ef-4a9f-adf5-7447f5d0afed,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,2026-09-20T00:52:47.089000+00:00,1.29,2,128,82,
3228ec58-995b-455c-a79e-552f556dc2dd,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:03.483000+00:00,28.32,176,128,82,147.07
bdb50311-5e31-40a1-a3cd-d4f78b94380a,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:04.342000+00:00,1.82,2,128,82,
322fee1c-f6e8-4d36-bad1-3bc56b0a57f7,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:05.189000+00:00,2.05,3,128,82,
16a81938-d72d-4df9-9be5-76df8f571c3b,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:06.104000+00:00,1.76,2,128,82,
8970fca7-cd87-42c1-af4b-4c3b93acc152,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:06.979000+00:00,1.43,2,128,82,
a4c6a3ea-f681-41a6-ac79-ea2cc6fc2563,2026/09/20/[$LATEST]799ef8a0ec4f4ebca220ebaeb654f5be,2026-09-20T00:53:07.840000+00:00,1.39,2,128,82,
1fa665b7-a968-4ff3-bfb3-555c4100cab6,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:24.698000+00:00,22.69,180,128,82,157.00
1108ba65-b152-4f5c-839c-5fa16e49a6d4,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:25.627000+00:00,1.65,2,128,82,
18a293a0-ebf8-4e8f-aaea-d06f84c7cc66,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:26.556000+00:00,1.95,2,128,82,
a9a4ea7f-228e-4016-a287-0f99320ad3bb,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:27.417000+00:00,1.48,2,128,82,
007a2d39-fd49-4136-b484-e53aa466ce84,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:28.280000+00:00,1.43,2,128,82,
5c11cce6-a8da-4a3d-ae76-ea48ef12e8b7,2026/09/20/[$LATEST]468edf9ebdb941f991222ce36aef516d,2026-09-20T00:53:29.152000+00:00,1.36,2,128,82,
2ad067c0-c8e8-49ef-ac87-7f5f73250331,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:45.282000+00:00,40.14,200,128,82,158.94
5a27b084-9ab7-4d21-a93b-19fc1e4918fa,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:46.162000+00:00,1.82,2,128,82,
67c30fc5-2cf6-443c-ab7c-0097f857cc00,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:47.056000+00:00,1.72,2,128,82,
a4a6c8e5-eec0-4ba0-bc8e-9dd3d641d3fb,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:47.972000+00:00,1.60,2,128,82,
9d2c368d-98f3-4b40-b8fe-0cffee322843,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:48.862000+00:00,1.44,2,128,82,
