plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error
aws-lambda,natural,1,3,2026-09-19T18:51:02.673,420.8,200,98a9e17b-0e8a-41a8-a01a-96bc693883f6,,2805,,03b115f8-231d-465a-a87a-4f3060653a48,False,,
aws-lambda,natural,1,4,2026-09-19T18:51:03.584,410.3,200,98a9e17b-0e8a-41a8-a01a-96bc693883f6,,3716,,de9cb676-c2a6-48f8-8482-3afd1ec9069f,False,,
aws-lambda,natural,1,5,2026-09-19T18:51:04.487,402.2,200,98a9e17b-0e8a-41a8-a01a-96bc693883f6,,4618,,a28b5adc-1373-43a0-a318-40f1d108aaee,False,,
cloudflare-workers,natural,1,0,2026-09-19T18:51:04.728,241.0,200,e3af2321-1889-48be-ae40-eabef16bfe3e,False,1676104,GIG,,False,,
cloudflare-workers,natural,1,1,2026-09-19T18:51:05.444,216.0,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,4063394,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,2,2026-09-19T18:51:06.148,202.9,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,4064101,GIG,,False,,
cloudflare-workers,natural,1,3,2026-09-19T18:51:06.866,217.3,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,4081179,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,4,2026-09-19T18:51:07.575,209.0,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,4065528,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,5,2026-09-19T18:51:08.290,213.8,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,4066240,GIG,,False,,
aws-lambda,natural,2,0,2026-09-19T18:59:09.165,709.9,200,f011293f-a4db-471e-91a3-6b62963b84b7,,6,,a02f89d5-5340-4f2f-9f61-9076d1aaaafd,True,instance_id_cambio,
aws-lambda,natural,2,1,2026-09-19T18:59:10.050,384.9,200,f011293f-a4db-471e-91a3-6b62963b84b7,,915,,6dbc0225-ab69-46d7-91f8-3aba00055a13,False,,
aws-lambda,natural,2,2,2026-09-19T18:59:10.937,386.4,200,f011293f-a4db-471e-91a3-6b62963b84b7,,1802,,b36b79f5-cb19-44a4-b062-65796c32a289,False,,
aws-lambda,natural,2,3,2026-09-19T18:59:11.824,387.1,200,f011293f-a4db-471e-91a3-6b62963b84b7,,2689,,ae44e4d5-9d5f-4c5e-ae79-132c576c9c60,False,,
aws-lambda,natural,2,4,2026-09-19T18:59:12.722,396.7,200,f011293f-a4db-471e-91a3-6b62963b84b7,,3587,,2fc60240-3840-40d7-b80e-fc88a30a464f,False,,
aws-lambda,natural,2,5,2026-09-19T18:59:13.630,407.5,200,f011293f-a4db-471e-91a3-6b62963b84b7,,4494,,bff1f7a2-0410-4055-a068-6ebaa72c06b1,False,,
cloudflare-workers,natural,2,0,2026-09-19T18:59:13.882,251.5,200,00dcfc74-33df-4099-a396-e346d85cf439,False,4568887,GIG,,False,(otro_isolate),
cloudflare-workers,natural,2,1,2026-09-19T18:59:14.593,211.2,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,4568890,GIG,,False,(otro_isolate),
cloudflare-workers,natural,2,2,2026-09-19T18:59:15.305,210.9,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,4569601,GIG,,False,,
cloudflare-workers,natural,2,3,2026-09-19T18:59:16.016,210.2,200,00dcfc74-33df-4099-a396-e346d85cf439,False,4571021,GIG,,False,(otro_isolate),
cloudflare-workers,natural,2,4,2026-09-19T18:59:16.715,199.0,200,00dcfc74-33df-4099-a396-e346d85cf439,False,4571724,GIG,,False,,
cloudflare-workers,natural,2,5,2026-09-19T18:59:17.430,213.8,200,00dcfc74-33df-4099-a396-e346d85cf439,False,4572435,GIG,,False,,
