plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error
aws-lambda,forzado,1,0,2026-09-19T21:48:42.102,825.4,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,6,,0d544e41-6536-4a6d-bf90-6ecd8b677402,True,uptime_bajo,
aws-lambda,forzado,1,1,2026-09-19T21:48:43.099,493.7,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,963,,6e2eee22-4015-49a1-b55c-3a591be9984d,False,,
aws-lambda,forzado,1,2,2026-09-19T21:48:44.063,423.2,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,1851,,ad142022-a6ad-4d16-9929-646a7fa40b90,False,,
aws-lambda,forzado,1,3,2026-09-19T21:48:45.002,433.5,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,2719,,91573e1b-800c-4c78-abda-dce74ade48f8,False,,
aws-lambda,forzado,1,4,2026-09-19T21:48:45.959,429.2,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,3601,,3419ca8c-4e07-45ed-aeda-ec92039a5b55,False,,
aws-lambda,forzado,1,5,2026-09-19T21:48:46.914,422.9,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,4483,,94477a28-7b46-4f4c-a507-cc6fbc993463,False,,
cloudflare-workers,forzado,1,0,2026-09-19T21:48:54.438,260.2,200,f75b7558-07d2-40cd-a5ff-780bd347724b,True,0,GIG,,True,first_request,
cloudflare-workers,forzado,1,1,2026-09-19T21:48:55.222,244.2,200,4dbb87a2-601b-42ba-8d5d-8cf8433dcfb1,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,1,2,2026-09-19T21:48:55.993,244.7,200,4dbb87a2-601b-42ba-8d5d-8cf8433dcfb1,False,712,GIG,,False,,
cloudflare-workers,forzado,1,3,2026-09-19T21:48:56.778,261.6,200,f75b7558-07d2-40cd-a5ff-780bd347724b,False,2164,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,4,2026-09-19T21:48:57.518,237.0,200,4dbb87a2-601b-42ba-8d5d-8cf8433dcfb1,False,2118,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,5,2026-09-19T21:48:58.262,242.4,200,1ea67b94-50e0-4260-b3e2-9280e92f5a06,True,0,GIG,,True,first_request+(otro_isolate),
aws-lambda,forzado,2,0,2026-09-19T21:49:05.251,710.1,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,6,,c7a7db6b-737e-43af-b2fd-ffbc7da05f0b,True,instance_id_cambio,
aws-lambda,forzado,2,1,2026-09-19T21:49:06.210,452.5,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,902,,748ba597-5d25-4089-8acb-f3068a18fc74,False,,
aws-lambda,forzado,2,2,2026-09-19T21:49:07.207,483.4,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,1820,,a8285384-4b6f-404f-8616-82f94d98a108,False,,
aws-lambda,forzado,2,3,2026-09-19T21:49:08.147,430.2,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,2689,,e73fb269-8a36-4654-b1fa-b40f52465ebe,False,,
aws-lambda,forzado,2,4,2026-09-19T21:49:09.073,424.1,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,3544,,cae1e197-3e5d-47f8-ba18-59b62fc598e9,False,,
aws-lambda,forzado,2,5,2026-09-19T21:49:10.036,423.7,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,4433,,c83b967d-7e4b-4913-82ac-e8cc20210f83,False,,
cloudflare-workers,forzado,2,0,2026-09-19T21:49:25.860,236.5,200,9831b837-de4c-4758-8ac8-ebdadbba7704,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,2,1,2026-09-19T21:49:26.608,238.6,200,c62db79a-77e9-4796-b227-aa6d3f8ffcbd,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,2,2,2026-09-19T21:49:27.358,237.5,200,9831b837-de4c-4758-8ac8-ebdadbba7704,False,1381,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,2,3,2026-09-19T21:49:28.096,223.8,200,c62db79a-77e9-4796-b227-aa6d3f8ffcbd,False,1376,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,2,4,2026-09-19T21:49:28.863,234.7,200,9831b837-de4c-4758-8ac8-ebdadbba7704,False,2772,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,2,5,2026-09-19T21:49:29.587,222.2,200,9831b837-de4c-4758-8ac8-ebdadbba7704,False,3444,GIG,,False,,
aws-lambda,forzado,3,0,2026-09-19T21:49:31.469,638.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,7,,b625b7ba-cdb4-46d9-9c42-f8600545386c,True,instance_id_cambio,
aws-lambda,forzado,3,1,2026-09-19T21:49:32.331,362.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,983,,b7e9bedc-f99c-478e-9583-3de2697d9f3e,False,,
aws-lambda,forzado,3,2,2026-09-19T21:49:33.191,359.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,1921,,0191057d-7908-476a-9aae-877b73f69033,False,,
aws-lambda,forzado,3,3,2026-09-19T21:49:34.053,361.9,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,2860,,5ee2b988-b812-437c-9d2c-6188289dc3d2,False,,
aws-lambda,forzado,3,4,2026-09-19T21:49:34.914,360.7,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,3800,,dd527841-2d6a-4fe2-a835-b3d06ae11e3e,False,,
aws-lambda,forzado,3,5,2026-09-19T21:49:35.807,392.7,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,4774,,e3090756-5666-423f-b066-8505101a1079,False,,
cloudflare-workers,forzado,3,0,2026-09-19T21:49:49.425,211.8,200,f110dd81-99f6-4b8d-bfa3-8255a0d4c586,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,3,1,2026-09-19T21:49:50.124,198.6,200,0c5104dc-06b1-49d3-85ff-fbcced614caf,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,3,2,2026-09-19T21:49:50.824,199.6,200,a1f37d21-e985-46fc-9e67-c26adc491b14,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,3,3,2026-09-19T21:49:51.524,200.3,200,0c5104dc-06b1-49d3-85ff-fbcced614caf,False,1477,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,3,4,2026-09-19T21:49:52.229,204.3,200,0c5104dc-06b1-49d3-85ff-fbcced614caf,False,2216,GIG,,False,,
cloudflare-workers,forzado,3,5,2026-09-19T21:49:52.950,220.9,200,0c5104dc-06b1-49d3-85ff-fbcced614caf,False,2978,GIG,,False,,
aws-lambda,forzado,4,0,2026-09-19T21:49:59.612,708.9,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,6,,1e615c74-34d0-45fe-9923-7d73390d93aa,True,instance_id_cambio,
aws-lambda,forzado,4,1,2026-09-19T21:50:00.546,434.4,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,876,,c24d1bf1-a77e-4610-a11c-bc6435fe0a59,False,,
aws-lambda,forzado,4,2,2026-09-19T21:50:01.480,433.0,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,1738,,e7d26e91-f886-40c8-9b29-fb8faf18a9d4,False,,
aws-lambda,forzado,4,3,2026-09-19T21:50:02.446,460.3,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,2629,,1770b586-b37a-473f-ba65-bb1a9c0736dc,False,,
aws-lambda,forzado,4,4,2026-09-19T21:50:05.085,455.6,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,3513,,a1a6298a-d099-48d2-bd39-4ff25b0e32ce,False,,
aws-lambda,forzado,4,5,2026-09-19T21:50:06.058,467.1,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,4411,,9f084046-8d43-4ab2-abcb-34d270cc2932,False,,
cloudflare-workers,forzado,4,0,2026-09-19T21:50:21.709,234.2,200,7743673e-c9fe-4763-b509-0d9f794c88ef,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,4,1,2026-09-19T21:50:22.438,224.5,200,7743673e-c9fe-4763-b509-0d9f794c88ef,False,674,GIG,,False,,
cloudflare-workers,forzado,4,2,2026-09-19T21:50:23.169,226.1,200,3f57430a-0c28-4d01-b374-e1fe2618d245,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,4,3,2026-09-19T21:50:23.910,240.5,200,9c1a4051-cf70-4607-9755-eedb1d18e8bb,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,forzado,4,4,2026-09-19T21:50:24.636,226.1,200,7743673e-c9fe-4763-b509-0d9f794c88ef,False,2703,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,4,5,2026-09-19T21:50:25.373,234.3,200,8f4dac43-0d8a-46b7-9063-e9979f7bf74d,True,0,GIG,,True,first_request+(otro_isolate),
aws-lambda,forzado,5,0,2026-09-19T21:50:32.340,714.6,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,23,,0bca90a8-161f-425b-968e-1518ded3efad,True,instance_id_cambio,
aws-lambda,forzado,5,1,2026-09-19T21:50:33.244,403.2,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,945,,6b172fa3-79f3-4409-b311-76ab80085871,False,,
aws-lambda,forzado,5,2,2026-09-19T21:50:34.141,397.1,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,1840,,4ed23335-55bb-450f-b25f-d0fcaf55264c,False,,
