plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error
aws-lambda,forzado,1,0,2026-09-19T19:29:59.930,716.7,200,4453c300-a17d-4052-93ba-4815b0d909c1,,7,,81dd30a6-ac4e-4f34-8de1-5e0ca1658382,True,uptime_bajo,
aws-lambda,forzado,1,1,2026-09-19T19:30:00.878,447.3,200,4453c300-a17d-4052-93ba-4815b0d909c1,,960,,bcf37cc1-9cb6-48be-a507-f6d640b20bd0,False,,
aws-lambda,forzado,1,2,2026-09-19T19:30:01.785,406.8,200,4453c300-a17d-4052-93ba-4815b0d909c1,,1867,,c571f75d-6e33-432c-ba0a-2e0d2925813b,False,,
aws-lambda,forzado,1,3,2026-09-19T19:30:02.706,420.3,200,4453c300-a17d-4052-93ba-4815b0d909c1,,2787,,add4110f-2b72-4681-bd48-9c206abaf20a,False,,
aws-lambda,forzado,1,4,2026-09-19T19:30:03.611,404.5,200,4453c300-a17d-4052-93ba-4815b0d909c1,,3693,,e49ec0af-206b-4668-858d-c224cd86ada2,False,,
aws-lambda,forzado,1,5,2026-09-19T19:30:04.532,420.2,200,4453c300-a17d-4052-93ba-4815b0d909c1,,4614,,d8a52788-7bf5-4873-b51d-5d4f546f5082,False,,
cloudflare-workers,forzado,1,0,2026-09-19T19:30:04.737,205.5,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6419675,GIG,,False,,
cloudflare-workers,forzado,1,1,2026-09-19T19:30:05.453,215.3,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,6419684,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,2,2026-09-19T19:30:06.176,223.3,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6421114,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,3,2026-09-19T19:30:06.886,209.0,200,e3af2321-1889-48be-ae40-eabef16bfe3e,False,4018176,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,4,2026-09-19T19:30:07.614,227.7,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6422551,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,1,5,2026-09-19T19:30:08.341,225.9,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6423278,GIG,,False,,
aws-lambda,forzado,2,0,2026-09-19T19:30:15.025,719.6,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,7,,4625515a-6a55-4e49-8fb1-b27acf4db6ab,True,instance_id_cambio,
aws-lambda,forzado,2,1,2026-09-19T19:30:15.947,420.8,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,968,,f4a08356-ef34-4719-be0b-e95df7d991a0,False,,
aws-lambda,forzado,2,2,2026-09-19T19:30:16.842,394.1,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,1864,,6d7641cf-84fa-40bd-8e59-7745400f0ed9,False,,
aws-lambda,forzado,2,3,2026-09-19T19:30:17.732,390.3,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,2753,,71cbeddf-d97f-42fb-a68f-b6b0e2575bbe,False,,
aws-lambda,forzado,2,4,2026-09-19T19:30:18.633,399.7,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,3653,,163732c4-e04c-4fe3-802d-487cc7495704,False,,
aws-lambda,forzado,2,5,2026-09-19T19:30:19.538,404.7,200,9e29d9a8-2ef3-4449-91c7-bd6852e38ed8,,4559,,75318cd0-756b-4881-9aff-5ea01098d87c,False,,
cloudflare-workers,forzado,2,0,2026-09-19T19:30:19.747,208.4,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6434683,GIG,,False,,
cloudflare-workers,forzado,2,1,2026-09-19T19:30:20.450,202.7,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6435390,GIG,,False,,
cloudflare-workers,forzado,2,2,2026-09-19T19:30:21.152,202.3,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,6435381,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,2,3,2026-09-19T19:30:21.870,217.4,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6436807,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,2,4,2026-09-19T19:30:22.596,225.2,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6437536,GIG,,False,,
cloudflare-workers,forzado,2,5,2026-09-19T19:30:23.309,212.1,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6438245,GIG,,False,,
aws-lambda,forzado,3,0,2026-09-19T19:30:30.040,696.5,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,7,,49f44270-3aef-44a6-8538-04ae264d349e,True,instance_id_cambio,
aws-lambda,forzado,3,1,2026-09-19T19:30:30.924,382.6,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,905,,4a6b5bfd-3223-4d61-bbed-0ec7868ae207,False,,
aws-lambda,forzado,3,2,2026-09-19T19:30:31.818,393.8,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,1799,,674f0a4b-c5d8-44fd-aa04-3f87b4e248fe,False,,
aws-lambda,forzado,3,3,2026-09-19T19:30:32.741,422.2,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,2722,,32a4ef60-f039-42e4-b65c-16e7b8d6f44d,False,,
aws-lambda,forzado,3,4,2026-09-19T19:30:33.624,382.8,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,3605,,f0acf3f8-f1ca-4ccc-8c34-24b114c2c246,False,,
aws-lambda,forzado,3,5,2026-09-19T19:30:34.542,417.0,200,f80c7e8e-c95d-4c45-ae22-3ad92d7b7501,,4523,,4721d40a-69de-489f-ad2b-4987ec2c1114,False,,
cloudflare-workers,forzado,3,0,2026-09-19T19:30:34.753,211.0,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,6432617,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,3,1,2026-09-19T19:30:35.453,199.7,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6450392,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,3,2,2026-09-19T19:30:36.168,214.2,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,6450394,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,3,3,2026-09-19T19:30:36.868,199.6,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6451807,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,3,4,2026-09-19T19:30:37.581,212.7,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6452517,GIG,,False,,
cloudflare-workers,forzado,3,5,2026-09-19T19:30:38.284,202.5,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6453222,GIG,,False,,
aws-lambda,forzado,4,0,2026-09-19T19:30:45.038,733.6,200,207844d9-87f7-430e-aad5-0c844d624e2c,,7,,fbc98b78-95b5-4c85-9fd7-56faee6472aa,True,instance_id_cambio,
aws-lambda,forzado,4,1,2026-09-19T19:30:45.933,394.0,200,207844d9-87f7-430e-aad5-0c844d624e2c,,921,,d0dc36ab-9823-4dff-abd4-bea4264636e0,False,,
aws-lambda,forzado,4,2,2026-09-19T19:30:46.853,419.6,200,207844d9-87f7-430e-aad5-0c844d624e2c,,1841,,5768d96c-c498-4c32-b148-47a6c66ebc52,False,,
aws-lambda,forzado,4,3,2026-09-19T19:30:47.761,407.1,200,207844d9-87f7-430e-aad5-0c844d624e2c,,2749,,8ce153b0-2673-4be9-b4ff-39196bb6c6ae,False,,
aws-lambda,forzado,4,4,2026-09-19T19:30:48.670,409.2,200,207844d9-87f7-430e-aad5-0c844d624e2c,,3659,,98c57d3c-7aeb-479e-9bf1-20ef63a28d1c,False,,
aws-lambda,forzado,4,5,2026-09-19T19:30:49.590,418.9,200,207844d9-87f7-430e-aad5-0c844d624e2c,,4578,,e0bbfcc2-f299-4500-ba8d-f98b5afc990f,False,,
cloudflare-workers,forzado,4,0,2026-09-19T19:30:49.788,198.3,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6464726,GIG,,False,,
cloudflare-workers,forzado,4,1,2026-09-19T19:30:50.511,221.9,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,6464735,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,4,2,2026-09-19T19:30:51.213,202.1,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6466151,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,4,3,2026-09-19T19:30:51.934,220.3,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,6449796,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,4,4,2026-09-19T19:30:52.641,207.0,200,e3af2321-1889-48be-ae40-eabef16bfe3e,False,4063930,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,4,5,2026-09-19T19:30:53.351,209.2,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,6451213,GIG,,False,(otro_isolate),
aws-lambda,forzado,5,0,2026-09-19T19:31:00.258,713.8,200,3003774d-a2f4-45ef-b529-b85cf8515244,,7,,55607bb2-62f0-4a1a-ab3d-229801a61756,True,instance_id_cambio,
aws-lambda,forzado,5,1,2026-09-19T19:31:01.173,415.1,200,3003774d-a2f4-45ef-b529-b85cf8515244,,943,,6e9afe14-36b5-4033-a3ae-b86e72168e1d,False,,
aws-lambda,forzado,5,2,2026-09-19T19:31:02.081,406.7,200,3003774d-a2f4-45ef-b529-b85cf8515244,,1851,,f4f16057-e92b-42fe-bbc9-97410d553c8e,False,,
aws-lambda,forzado,5,3,2026-09-19T19:31:02.993,412.2,200,3003774d-a2f4-45ef-b529-b85cf8515244,,2763,,7ae99f94-1ce4-42a8-80cd-3412bf35b1ab,False,,
aws-lambda,forzado,5,4,2026-09-19T19:31:03.889,395.2,200,3003774d-a2f4-45ef-b529-b85cf8515244,,3659,,2d87c396-c520-4e5f-b7fe-775aa88bb3b5,False,,
aws-lambda,forzado,5,5,2026-09-19T19:31:04.785,395.4,200,3003774d-a2f4-45ef-b529-b85cf8515244,,4555,,ecfc6804-7068-4ec9-b32c-088167349176,False,,
cloudflare-workers,forzado,5,0,2026-09-19T19:31:04.992,207.1,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,6462851,GIG,,False,,
cloudflare-workers,forzado,5,1,2026-09-19T19:31:05.706,213.4,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,6479932,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,5,2,2026-09-19T19:31:06.417,210.1,200,e3af2321-1889-48be-ae40-eabef16bfe3e,False,4077705,GIG,,False,(otro_isolate),
cloudflare-workers,forzado,5,3,2026-09-19T19:31:07.121,203.3,200,00dcfc74-33df-4099-a396-e346d85cf439,False,6482059,GIG,,False,(otro_isolate),
