plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error,cw_duration_ms,cw_billed_ms,cw_init_duration_ms,cw_log_stream,resto_red_plataforma_ms
aws-lambda,forzado,4,2,2026-09-19T21:50:01.480,433.0,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,1738,,e7d26e91-f886-40c8-9b29-fb8faf18a9d4,False,,,14.19,15,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,418.8
aws-lambda,forzado,4,3,2026-09-19T21:50:02.446,460.3,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,2629,,1770b586-b37a-473f-ba65-bb1a9c0736dc,False,,,1.58,2,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,458.7
aws-lambda,forzado,4,4,2026-09-19T21:50:05.085,455.6,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,3513,,a1a6298a-d099-48d2-bd39-4ff25b0e32ce,False,,,1.64,2,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,454.0
aws-lambda,forzado,4,5,2026-09-19T21:50:06.058,467.1,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,4411,,9f084046-8d43-4ab2-abcb-34d270cc2932,False,,,1.48,2,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,465.6
aws-lambda,forzado,5,0,2026-09-19T21:50:32.340,714.6,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,23,,0bca90a8-161f-425b-968e-1518ded3efad,True,instance_id_cambio,,39.78,197,156.78,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,518.0
aws-lambda,forzado,5,1,2026-09-19T21:50:33.244,403.2,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,945,,6b172fa3-79f3-4409-b311-76ab80085871,False,,,2.52,3,,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,400.7
aws-lambda,forzado,5,2,2026-09-19T21:50:34.141,397.1,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,1840,,4ed23335-55bb-450f-b25f-d0fcaf55264c,False,,,1.88,2,,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,395.2
aws-lambda,forzado,5,3,2026-09-19T21:50:35.036,394.4,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,2732,,a3ed456f-90a4-4828-ac8f-c3ad818e1ebd,False,,,1.39,2,,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,393.0
aws-lambda,forzado,5,4,2026-09-19T21:50:35.929,392.7,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,3621,,ac95b6a2-a466-4a81-a9ce-c55c0390561b,False,,,1.67,2,,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,391.0
aws-lambda,forzado,5,5,2026-09-19T21:50:34.758,417.8,200,166ebdfa-64b0-43d4-b7c2-14b7450ad9ad,,4531,,2a2da285-1c8b-4eb8-b326-771c5a189649,False,,,1.51,2,,2026/09/20/[$LATEST]7a530ef8877a46e59988fa474de4ad6a,416.3
aws-lambda,forzado,6,0,2026-09-19T21:50:51.430,796.6,200,b6305301-6a18-4ded-bb55-5df52836dd98,,8,,0a1b95a0-3cf5-400c-bd92-8b32ff1fdf7c,True,instance_id_cambio,,23.68,182,157.40,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,615.5
aws-lambda,forzado,6,1,2026-09-19T21:50:52.375,432.9,200,b6305301-6a18-4ded-bb55-5df52836dd98,,883,,a57ccfb5-1eaa-47f5-8fe0-d271be71b914,False,,,1.86,2,,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,431.0
aws-lambda,forzado,6,2,2026-09-19T21:50:53.304,428.1,200,b6305301-6a18-4ded-bb55-5df52836dd98,,1741,,8bcb1e29-9871-4af3-8f42-3681a628c0e6,False,,,1.83,2,,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,426.3
aws-lambda,forzado,6,3,2026-09-19T21:50:54.253,445.7,200,b6305301-6a18-4ded-bb55-5df52836dd98,,2616,,be89d854-d7e3-45fb-bf06-61d5b004ca86,False,,,1.68,2,,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,444.0
aws-lambda,forzado,6,4,2026-09-19T21:50:55.187,430.9,200,b6305301-6a18-4ded-bb55-5df52836dd98,,3478,,cb83a0f4-d7a1-466f-8db2-a744acdd3e80,False,,,1.48,2,,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,429.4
aws-lambda,forzado,6,5,2026-09-19T21:50:56.111,423.3,200,b6305301-6a18-4ded-bb55-5df52836dd98,,4332,,c3f40f40-fbb3-4141-95a6-59807ed32150,False,,,1.49,2,,2026/09/20/[$LATEST]34d362a0b4f0466e92d4ada610ef2ee0,421.8
